seed_set_id,panel_version,seed_index,seed_value,applies_to,note
f7_seed_panel_v1,1,1,1234,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,2,2345,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,3,3456,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,4,4567,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,5,5678,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,6,6789,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,7,7900,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,8,9011,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,9,10122,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,10,11233,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,11,12344,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,12,13455,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,13,14566,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,14,15677,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,15,16788,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,16,17899,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,17,19010,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,18,20121,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,19,21232,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,20,22343,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,21,23454,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,22,24565,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,23,25676,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,24,26787,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,25,27898,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,26,29009,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,27,30120,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,28,31231,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,29,32342,"mlp|xgboost","Common F7 campaign seed panel."
f7_seed_panel_v1,1,30,33453,"mlp|xgboost","Common F7 campaign seed panel."
